,NP_Synthesis,NP size_avg (nm),shape,method,Bacteria,NP_concentration (μg/ml),ZOI,reference,time (hr),Phylum,Class,Order,Family,Genus,Superkingdom,Species,bac_type,gram,"min_Incub_period, h","growth_temp, C",biosafety_level,isolated_from,Strain,Coating,Solvent for extract,Precursor of NP,"Temperature for extract, C","Duration preparing extract, min",Concentration of precursor (mM),DONE?,,COUNT of DONE,
135,green synthesis using rumex hastatus,77.0,spherical,ZOI,Escherichia coli,40.0,8.0,https://www.sciencedirect.com/science/article/pii/S1018364721002494?via%3Dihub#s0080,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,,,20,done,seems like a shady article...,,
136,green synthesis using rumex hastatus,77.0,spherical,ZOI,Salmonella gallinarum,40.0,10.0,https://www.sciencedirect.com/science/article/pii/S1018364721002494?via%3Dihub#s0080,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Bacteria,Salmonella enterica subsp. enterica serovar Gallinarum,pathogenic,n,6.0,37.0,2.0,food,,0,water (distilled),AgNO3,,,20,done,seems like a shady article...,,
137,green synthesis using rumex hastatus,77.0,spherical,ZOI,Klebsiella pneumoniae,40.0,10.0,https://www.sciencedirect.com/science/article/pii/S1018364721002494?via%3Dihub#s0080,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Bacteria,Klebsiella pneumoniae,opportunistic pathogen,n,24.0,30.0,2.0,respiratory tract,,0,water (distilled),AgNO3,,,20,done,seems like a shady article...,,
138,green synthesis using rumex hastatus,77.0,spherical,ZOI,Enterobacter aerogenes,40.0,12.0,https://www.sciencedirect.com/science/article/pii/S1018364721002494?via%3Dihub#s0080,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Bacteria,Klebsiella aerogenes,opportunistic pathogen,n,6.0,37.0,2.0,urine,,0,water (distilled),AgNO3,,,20,done,seems like a shady article...,,
139,green synthesis using rumex hastatus,77.0,spherical,ZOI,Pseudomonas aeruginosa,40.0,9.0,https://www.sciencedirect.com/science/article/pii/S1018364721002494?via%3Dihub#s0080,24.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,24.0,37.0,2.0,soil,,0,water (distilled),AgNO3,,,20,done,seems like a shady article...,,
140,green synthesis using rumex hastatus,77.0,spherical,ZOI,Micrococcus lotus,40.0,7.0,https://www.sciencedirect.com/science/article/pii/S1018364721002494?via%3Dihub#s0080,24.0,Streptophyta,Magnoliopsida,Fabales,Fabaceae,micrococcus,Eukaryota,micrococcus lotus,non-pathogenic,p,24.0,30.0,1.0,soil,,0,water (distilled),AgNO3,,,20,done,seems like a shady article...,,
141,green synthesis using rumex hastatus,77.0,spherical,ZOI,Bacillus brevis,40.0,11.0,https://www.sciencedirect.com/science/article/pii/S1018364721002494?via%3Dihub#s0080,24.0,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Bacteria,Brevibacillus brevis,non-pathogenic,p,24.0,37.0,1.0,soil,,0,water (distilled),AgNO3,,,20,done,seems like a shady article...,,
142,green synthesis using rumex hastatus,77.0,spherical,ZOI,Staphylococcus aureus,60.0,10.0,https://www.sciencedirect.com/science/article/pii/S1018364721002494?via%3Dihub#s0080,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,24.0,37.0,2.0,skin,,0,water (distilled),AgNO3,,,20,done,seems like a shady article...,,
143,green synthesis using rumex hastatus,77.0,spherical,ZOI,Escherichia coli,60.0,10.0,https://www.sciencedirect.com/science/article/pii/S1018364721002494?via%3Dihub#s0080,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,,,20,done,seems like a shady article...,,
144,green synthesis using rumex hastatus,77.0,spherical,ZOI,Salmonella gallinarum,60.0,13.0,https://www.sciencedirect.com/science/article/pii/S1018364721002494?via%3Dihub#s0080,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Bacteria,Salmonella enterica subsp. enterica serovar Gallinarum,pathogenic,n,6.0,37.0,2.0,food,,0,water (distilled),AgNO3,,,20,done,seems like a shady article...,,
145,green synthesis using rumex hastatus,77.0,spherical,ZOI,Klebsiella pneumoniae,60.0,10.0,https://www.sciencedirect.com/science/article/pii/S1018364721002494?via%3Dihub#s0080,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Bacteria,Klebsiella pneumoniae,opportunistic pathogen,n,24.0,30.0,2.0,respiratory tract,,0,water (distilled),AgNO3,,,20,done,seems like a shady article...,,
146,green synthesis using rumex hastatus,77.0,spherical,ZOI,Enterobacter aerogenes,60.0,12.0,https://www.sciencedirect.com/science/article/pii/S1018364721002494?via%3Dihub#s0080,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Bacteria,Klebsiella aerogenes,opportunistic pathogen,n,6.0,37.0,2.0,urine,,0,water (distilled),AgNO3,,,20,done,seems like a shady article...,,
147,green synthesis using rumex hastatus,77.0,spherical,ZOI,Pseudomonas aeruginosa,60.0,10.0,https://www.sciencedirect.com/science/article/pii/S1018364721002494?via%3Dihub#s0080,24.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,24.0,37.0,2.0,soil,,0,water (distilled),AgNO3,,,20,done,seems like a shady article...,,
148,green synthesis using rumex hastatus,77.0,spherical,ZOI,Micrococcus lotus,60.0,9.0,https://www.sciencedirect.com/science/article/pii/S1018364721002494?via%3Dihub#s0080,24.0,Streptophyta,Magnoliopsida,Fabales,Fabaceae,micrococcus,Eukaryota,micrococcus lotus,non-pathogenic,p,24.0,30.0,1.0,soil,,0,water (distilled),AgNO3,,,20,done,seems like a shady article...,,
149,green synthesis using rumex hastatus,77.0,spherical,ZOI,Bacillus brevis,60.0,12.0,https://www.sciencedirect.com/science/article/pii/S1018364721002494?via%3Dihub#s0080,24.0,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Bacteria,Brevibacillus brevis,non-pathogenic,p,24.0,37.0,1.0,soil,,0,water (distilled),AgNO3,,,20,done,seems like a shady article...,,
150,green synthesis using rumex hastatus,77.0,spherical,ZOI,Staphylococcus aureus,80.0,11.0,https://www.sciencedirect.com/science/article/pii/S1018364721002494?via%3Dihub#s0080,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,24.0,37.0,2.0,skin,,0,water (distilled),AgNO3,,,20,done,seems like a shady article...,,
151,green synthesis using rumex hastatus,77.0,spherical,ZOI,Escherichia coli,80.0,11.0,https://www.sciencedirect.com/science/article/pii/S1018364721002494?via%3Dihub#s0080,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,,,20,done,seems like a shady article...,,
152,green synthesis using rumex hastatus,77.0,spherical,ZOI,Salmonella gallinarum,80.0,13.0,https://www.sciencedirect.com/science/article/pii/S1018364721002494?via%3Dihub#s0080,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Bacteria,Salmonella enterica subsp. enterica serovar Gallinarum,pathogenic,n,6.0,37.0,2.0,food,,0,water (distilled),AgNO3,,,20,done,seems like a shady article...,,
153,green synthesis using rumex hastatus,77.0,spherical,ZOI,Klebsiella pneumoniae,80.0,11.0,https://www.sciencedirect.com/science/article/pii/S1018364721002494?via%3Dihub#s0080,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Bacteria,Klebsiella pneumoniae,opportunistic pathogen,n,24.0,30.0,2.0,respiratory tract,,0,water (distilled),AgNO3,,,20,done,seems like a shady article...,,
154,green synthesis using rumex hastatus,77.0,spherical,ZOI,Enterobacter aerogenes,80.0,13.0,https://www.sciencedirect.com/science/article/pii/S1018364721002494?via%3Dihub#s0080,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Bacteria,Klebsiella aerogenes,opportunistic pathogen,n,6.0,37.0,2.0,urine,,0,water (distilled),AgNO3,,,20,done,seems like a shady article...,,
155,green synthesis using rumex hastatus,77.0,spherical,ZOI,Pseudomonas aeruginosa,80.0,14.0,https://www.sciencedirect.com/science/article/pii/S1018364721002494?via%3Dihub#s0080,24.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,24.0,37.0,2.0,soil,,0,water (distilled),AgNO3,,,20,done,seems like a shady article...,,
156,green synthesis using rumex hastatus,77.0,spherical,ZOI,Micrococcus lotus,80.0,9.0,https://www.sciencedirect.com/science/article/pii/S1018364721002494?via%3Dihub#s0080,24.0,Streptophyta,Magnoliopsida,Fabales,Fabaceae,micrococcus,Eukaryota,micrococcus lotus,non-pathogenic,p,24.0,30.0,1.0,soil,,0,water (distilled),AgNO3,,,20,done,seems like a shady article...,,
157,green synthesis using rumex hastatus,77.0,spherical,ZOI,Bacillus brevis,80.0,15.0,https://www.sciencedirect.com/science/article/pii/S1018364721002494?via%3Dihub#s0080,24.0,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Bacteria,Brevibacillus brevis,non-pathogenic,p,24.0,37.0,1.0,soil,,0,water (distilled),AgNO3,,,20,done,seems like a shady article...,,
158,green synthesis using rumex hastatus,77.0,spherical,ZOI,Staphylococcus aureus,100.0,19.0,https://www.sciencedirect.com/science/article/pii/S1018364721002494?via%3Dihub#s0080,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,24.0,37.0,2.0,skin,,0,water (distilled),AgNO3,,,20,done,seems like a shady article...,,
159,green synthesis using rumex hastatus,77.0,spherical,ZOI,Escherichia coli,100.0,12.0,https://www.sciencedirect.com/science/article/pii/S1018364721002494?via%3Dihub#s0080,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,,,20,done,seems like a shady article...,,
160,green synthesis using rumex hastatus,77.0,spherical,ZOI,Salmonella gallinarum,100.0,15.0,https://www.sciencedirect.com/science/article/pii/S1018364721002494?via%3Dihub#s0080,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Bacteria,Salmonella enterica subsp. enterica serovar Gallinarum,pathogenic,n,6.0,37.0,2.0,food,,0,water (distilled),AgNO3,,,20,done,seems like a shady article...,,
161,green synthesis using rumex hastatus,77.0,spherical,ZOI,Klebsiella pneumoniae,100.0,15.0,https://www.sciencedirect.com/science/article/pii/S1018364721002494?via%3Dihub#s0080,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Bacteria,Klebsiella pneumoniae,opportunistic pathogen,n,24.0,30.0,2.0,respiratory tract,,0,water (distilled),AgNO3,,,20,done,seems like a shady article...,,
162,green synthesis using rumex hastatus,77.0,spherical,ZOI,Enterobacter aerogenes,100.0,16.0,https://www.sciencedirect.com/science/article/pii/S1018364721002494?via%3Dihub#s0080,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Bacteria,Klebsiella aerogenes,opportunistic pathogen,n,6.0,37.0,2.0,urine,,0,water (distilled),AgNO3,,,20,done,seems like a shady article...,,
163,green synthesis using rumex hastatus,77.0,spherical,ZOI,Pseudomonas aeruginosa,100.0,17.0,https://www.sciencedirect.com/science/article/pii/S1018364721002494?via%3Dihub#s0080,24.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,24.0,37.0,2.0,soil,,0,water (distilled),AgNO3,,,20,done,seems like a shady article...,,
164,green synthesis using rumex hastatus,77.0,spherical,ZOI,Micrococcus lotus,100.0,16.0,https://www.sciencedirect.com/science/article/pii/S1018364721002494?via%3Dihub#s0080,24.0,Streptophyta,Magnoliopsida,Fabales,Fabaceae,micrococcus,Eukaryota,micrococcus lotus,non-pathogenic,p,24.0,30.0,1.0,soil,,0,water (distilled),AgNO3,,,20,done,seems like a shady article...,,
165,green synthesis using rumex hastatus,77.0,spherical,ZOI,Bacillus brevis,100.0,18.0,https://www.sciencedirect.com/science/article/pii/S1018364721002494?via%3Dihub#s0080,24.0,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Bacteria,Brevibacillus brevis,non-pathogenic,p,24.0,37.0,1.0,soil,,0,water (distilled),AgNO3,,,20,done,seems like a shady article...,,
166,green synthesis using pimpinella anisum,25.5,spherical,ZOI,Escherichia coli,128.0,22.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,20,1440,1,done,,,
167,green synthesis using pimpinella anisum,25.5,spherical,ZOI,Escherichia coli,128.0,20.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,20,1440,1,done,,,
168,green synthesis using pimpinella anisum,25.5,spherical,ZOI,Escherichia coli,128.0,19.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,20,1440,1,done,,,
169,green synthesis using pimpinella anisum,25.5,spherical,ZOI,Escherichia coli,128.0,18.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,20,1440,1,done,,,
170,green synthesis using pimpinella anisum,25.5,spherical,ZOI,Escherichia coli,128.0,20.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,20,1440,1,done,,,
171,green synthesis using pimpinella anisum,25.5,spherical,ZOI,Escherichia coli,128.0,17.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,20,1440,1,done,,,
172,green synthesis using pimpinella anisum,25.5,spherical,ZOI,Escherichia coli,128.0,14.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,20,1440,1,done,,,
173,green synthesis using pimpinella anisum,25.5,spherical,ZOI,Escherichia coli,128.0,18.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,20,1440,1,done,,,
174,green synthesis using pimpinella anisum,25.5,spherical,ZOI,Escherichia coli,128.0,15.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,ATCC 25922,0,water (distilled),AgNO3,20,1440,1,done,,,
175,green synthesis using pimpinella anisum,25.5,spherical,ZOI,Escherichia coli,128.0,15.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,20,1440,1,done,,,
176,green synthesis using pimpinella anisum,25.5,spherical,ZOI,Escherichia coli,128.0,14.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,20,1440,1,done,,,
177,green synthesis using pimpinella anisum,25.5,spherical,ZOI,Escherichia coli,128.0,15.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,20,1440,1,done,,,
178,green synthesis using pimpinella anisum,25.5,spherical,ZOI,Escherichia coli,256.0,22.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,20,1440,1,done,,,
179,green synthesis using pimpinella anisum,25.5,spherical,ZOI,Escherichia coli,256.0,22.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,20,1440,1,done,,,
180,green synthesis using pimpinella anisum,25.5,spherical,ZOI,Escherichia coli,256.0,26.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,20,1440,1,done,,,
181,green synthesis using pimpinella anisum,25.5,spherical,ZOI,Escherichia coli,256.0,19.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,20,1440,1,done,,,
182,green synthesis using pimpinella anisum,25.5,spherical,ZOI,Escherichia coli,256.0,23.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,20,1440,1,done,,,
183,green synthesis using pimpinella anisum,25.5,spherical,ZOI,Escherichia coli,256.0,19.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,20,1440,1,done,,,
184,green synthesis using pimpinella anisum,25.5,spherical,ZOI,Escherichia coli,256.0,18.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,20,1440,1,done,,,
185,green synthesis using pimpinella anisum,25.5,spherical,ZOI,Escherichia coli,256.0,20.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,ATCC 25922,0,water (distilled),AgNO3,20,1440,1,done,,,
186,green synthesis using pimpinella anisum,25.5,spherical,ZOI,Escherichia coli,256.0,15.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,20,1440,1,done,,,
187,green synthesis using pimpinella anisum,25.5,spherical,ZOI,Escherichia coli,256.0,17.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,20,1440,1,done,,,
188,green synthesis using pimpinella anisum,25.5,spherical,ZOI,Escherichia coli,256.0,17.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,20,1440,1,done,,,
189,green synthesis using pimpinella anisum,25.5,spherical,ZOI,Escherichia coli,256.0,20.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,20,1440,1,done,,,
190,green synthesis using pimpinella anisum,25.5,spherical,ZOI,Escherichia coli,512.0,28.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,20,1440,1,done,,,
191,green synthesis using pimpinella anisum,25.5,spherical,ZOI,Escherichia coli,512.0,25.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,20,1440,1,done,,,
192,green synthesis using pimpinella anisum,25.5,spherical,ZOI,Escherichia coli,512.0,26.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,20,1440,1,done,,,
193,green synthesis using pimpinella anisum,25.5,spherical,ZOI,Escherichia coli,512.0,20.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,20,1440,1,done,,,
194,green synthesis using pimpinella anisum,25.5,spherical,ZOI,Escherichia coli,512.0,25.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,20,1440,1,done,,,
195,green synthesis using pimpinella anisum,25.5,spherical,ZOI,Escherichia coli,512.0,28.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,20,1440,1,done,,,
196,green synthesis using pimpinella anisum,25.5,spherical,ZOI,Escherichia coli,512.0,25.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,20,1440,1,done,,,
197,green synthesis using pimpinella anisum,25.5,spherical,ZOI,Escherichia coli,512.0,21.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,20,1440,1,done,,,
198,green synthesis using pimpinella anisum,25.5,spherical,ZOI,Escherichia coli,512.0,17.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,20,1440,1,done,,,
199,green synthesis using pimpinella anisum,25.5,spherical,ZOI,Escherichia coli,512.0,19.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,20,1440,1,done,,,
200,green synthesis using pimpinella anisum,25.5,spherical,ZOI,Escherichia coli,512.0,18.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,20,1440,1,done,,,
201,green synthesis using pimpinella anisum,25.5,spherical,ZOI,Escherichia coli,512.0,30.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,ATCC 25922,0,water (distilled),AgNO3,20,1440,1,done,,,
202,green synthesis using pimpinella anisum,25.5,spherical,ZOI,Escherichia coli,1024.0,30.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,20,1440,1,done,,,
